Country_KR,Sector_Group,Project_Count_2019_2024,Share_2019_2024,Active_Years,Commitment_Raw,Disbursement_Raw,Top_Detail_Sectors
에티오피아,교육,62,0.2046,6,24069057.53,21961339.12,"초등교육(10); 교사훈련(7); 전문대,대학(원) 교육(6); 식수공급 및 위생처리 부문교육(6); 교육정책 및 행정관리(5)"
에티오피아,농림수산,48,0.1584,6,22042367.06,16275837.34,농촌개발(15); 농업 개발(9); 식량생산(7); 농업용수자원(4); 농업관련 서비스(4)
에티오피아,기술환경에너지,41,0.1353,6,11275360.0,9116504.83,도시개발 및 관리(9); 항공운송(5); 정보통신기술(5); 에너지정책 및 행정관리(5); 수자원정책 및 행정관리(4)
에티오피아,보건의료,34,0.1122,6,5656523.59,10129332.08,보건정책 및 행정관리(16); 의료서비스(8); 생식보건(6); 기초보건진료(4)
에티오피아,기타,31,0.1023,6,26086717.68,12973652.74,"비특정분야(15); 가족계획(6); 성평등 조직(기구) 및 제도(4); 섬유,피혁 및 대체소재(3); 노동 권리(2)"
에티오피아,긴급구호/취약성,11,0.0363,6,5317824.14,5319340.14,사회보호/보장(5); COVID-19(3); 재난위험경감(3)
엘살바도르,공공행정,48,0.384,6,12919200.31,7171547.89,공공정책 및 행정관리(26); 치안제도 관리 및 개선(10); 운송정책 및 행정관리(7); 입법 및 사법제도 개발(2); 공업정책 및 행정관리(1)
엘살바도르,교육,30,0.24,6,13279148.63,3589134.95,"전문대,대학(원) 교육(7); 의료교육 및 훈련(6); 교육정책 및 행정관리(6); 고급기술 및 관리자 교육(3); 직업훈련(기초,중등수준)(2)"
엘살바도르,기술환경에너지,16,0.128,6,504693.15,4730324.15,수자원보호(3); 정보통신기술(3); 에너지정책 및 행정관리(2); 도시개발 및 관리(2); 환경정책 및 행정관리(2)
엘살바도르,기타,12,0.096,6,1579928.31,1580877.31,"비특정분야(10); 개도국 국내 재원조성(1); 섬유,피혁 및 대체소재(1)"
엘살바도르,보건의료,11,0.088,4,6163343.21,1260976.68,보건정책 및 행정관리(4); 기초의료설비(3); 생식보건(2); 의료서비스(2)
엘살바도르,농림수산,6,0.048,4,110172.01,109778.01,농촌개발(4); 농업정책 및 행정관리(1); 농업 개발(1)
엘살바도르,긴급구호/취약성,2,0.016,2,17971.0,17971.0,COVID-19(2)
