Country_KR,Country,Country_Code,Series_Code,Indicator_Name,Signal_KR,Latest_Year,Latest_Value,WDI_Coverage_2019_2025,Score_Direction,Need_Weight,Latest_Value_Display
가나,Ghana,GHA,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,58.9246861473125,7,context,0.0,58.9%
가나,Ghana,GHA,SP.POP.TOTL,Population,인구규모,2025.0,35064272.0,7,context,0.0,35.1M
가나,Ghana,GHA,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,0.702085843566409,6,context,0.0,0.70 tCO2e/cap
우즈베키스탄,Uzbekistan,UZB,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,3968.2720079072,7,lower_is_higher_need,0.25,"$3,968"
우즈베키스탄,Uzbekistan,UZB,SI.POV.DDAY,Poverty rate,빈곤,2025.0,2.3,5,higher_is_higher_need,0.15,2.3%
우즈베키스탄,Uzbekistan,UZB,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,72.528,6,lower_is_higher_need,0.1,72.5 years
우즈베키스탄,Uzbekistan,UZB,SE.SEC.ENRR,Secondary enrollment,교육,2025.0,98.1198414913864,7,lower_is_higher_need,0.15,98.1%
우즈베키스탄,Uzbekistan,UZB,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,100.0,5,lower_is_higher_need,0.15,100.0%
우즈베키스탄,Uzbekistan,UZB,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,89.50550079,6,lower_is_higher_need,0.15,89.5%
우즈베키스탄,Uzbekistan,UZB,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,4.622,7,higher_is_higher_need,0.05,4.6%
우즈베키스탄,Uzbekistan,UZB,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,51.0173495084299,7,context,0.0,51.0%
우즈베키스탄,Uzbekistan,UZB,SP.POP.TOTL,Population,인구규모,2025.0,37053428.0,7,context,0.0,37.1M
우즈베키스탄,Uzbekistan,UZB,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,4.08501666540206,6,context,0.0,4.09 tCO2e/cap
우간다,Uganda,UGA,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,1206.30450825002,7,lower_is_higher_need,0.25,"$1,206"
우간다,Uganda,UGA,SI.POV.DDAY,Poverty rate,빈곤,2019.0,59.8,1,higher_is_higher_need,0.15,59.8%
우간다,Uganda,UGA,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,68.487,6,lower_is_higher_need,0.1,68.5 years
우간다,Uganda,UGA,SE.SEC.ENRR,Secondary enrollment,교육,,,0,lower_is_higher_need,0.15,N/A
우간다,Uganda,UGA,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,51.5,5,lower_is_higher_need,0.15,51.5%
우간다,Uganda,UGA,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,8.949831061,6,lower_is_higher_need,0.15,8.9%
우간다,Uganda,UGA,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,2.746,7,higher_is_higher_need,0.05,2.7%
우간다,Uganda,UGA,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,31.9399557536617,7,context,0.0,31.9%
우간다,Uganda,UGA,SP.POP.TOTL,Population,인구규모,2025.0,51384894.0,7,context,0.0,51.4M
우간다,Uganda,UGA,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,0.165048181856788,6,context,0.0,0.17 tCO2e/cap
르완다,Rwanda,RWA,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,1123.73874633225,7,lower_is_higher_need,0.25,"$1,124"
르완다,Rwanda,RWA,SI.POV.DDAY,Poverty rate,빈곤,2023.0,38.6,1,higher_is_higher_need,0.15,38.6%
르완다,Rwanda,RWA,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,68.017,6,lower_is_higher_need,0.1,68.0 years
르완다,Rwanda,RWA,SE.SEC.ENRR,Secondary enrollment,교육,2024.0,48.790277194547,5,lower_is_higher_need,0.15,48.8%
르완다,Rwanda,RWA,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,63.9,5,lower_is_higher_need,0.15,63.9%
