Country_KR,Year,Project_Count,Commitment_Raw,Disbursement_Raw
예멘,2020,1,2018.0,2018.0
예멘,2021,1,1701.0,1701.0
예멘,2022,0,0.0,0.0
예멘,2023,5,77735.0,77735.0
예멘,2024,2,0.03,0.03
온두라스,2019,25,1596808.0,2595928.0
온두라스,2020,17,905955.0,1051697.0
온두라스,2021,4,233142.0,557570.0
온두라스,2022,3,285521.0,617898.0
온두라스,2023,12,853961.0,1106513.0
온두라스,2024,9,0.61,0.61
요르단,2019,33,5530718.0,7047265.0
요르단,2020,21,16259307.0,5390284.0
요르단,2021,17,8138223.0,12896981.0
요르단,2022,19,10298675.0,5742092.0
요르단,2023,25,1225011.0,4633099.0
요르단,2024,25,13.4,7.06
우간다,2019,75,9686242.0,7107465.0
우간다,2020,63,18277503.0,3529127.0
우간다,2021,59,22020257.0,4890981.0
우간다,2022,62,15397204.0,7504183.0
우간다,2023,73,16093702.0,8448686.0
우간다,2024,72,17.52,12.38
우즈베키스탄,2019,87,5865428.0,14258196.0
우즈베키스탄,2020,58,27007907.0,10382599.0
우즈베키스탄,2021,57,30680202.0,17752822.0
우즈베키스탄,2022,69,27537759.0,10430222.0
우즈베키스탄,2023,70,29225890.0,11394256.0
우즈베키스탄,2024,80,4.4,18.2
우크라이나,2019,0,0.0,0.0
우크라이나,2020,0,0.0,0.0
우크라이나,2021,1,100466.0,100466.0
우크라이나,2022,1,61765.0,61765.0
우크라이나,2023,9,37674655.0,30209038.0
우크라이나,2024,13,79.53,3.73
이라크,2019,43,4667245.0,3720312.0
이라크,2020,18,25259042.0,1861566.0
이라크,2021,21,741201.0,5272818.0
이라크,2022,17,5780341.0,8192034.0
이라크,2023,15,12746984.0,12265592.0
이라크,2024,12,0.78,8.66
이란,2019,5,48992.0,105679.0
이란,2020,4,83801.0,83815.0
이란,2021,2,6018.0,6363.0
이란,2022,2,1750016.0,1762034.0
이란,2023,2,305005.0,892841.0
이란,2024,1,0.0,1.45
이집트,2019,47,4514214.0,5423460.0
이집트,2020,42,1416369.0,2823447.0
이집트,2021,37,2491768.0,3783571.0
이집트,2022,30,10377959.0,3651537.0
이집트,2023,29,9778377.0,4601314.0
이집트,2024,31,11.61,7.25
인도,2019,3,34287.0,34287.0
인도,2020,3,223350.0,223350.0
인도,2021,4,2038220.0,39338.0
인도,2022,1,0.0,0.0
인도,2023,2,40408.0,44268.0
인도,2024,3,0.18,0.18
인도네시아,2019,107,13530992.0,6010650.0
인도네시아,2020,79,27387696.0,10683047.0
인도네시아,2021,77,38819876.0,8910068.0
인도네시아,2022,92,10431548.0,6787657.0
인도네시아,2023,100,10006343.0,12654121.0
인도네시아,2024,107,18.47,13.42
자메이카,2019,7,175698.0,171614.0
자메이카,2020,3,8330.0,8400.0
자메이카,2021,4,553468.0,555926.0
자메이카,2022,2,1512609.0,1512357.0
자메이카,2023,3,917023.0,716487.0
자메이카,2024,4,0.41,0.59
