Country_KR,Sector_Group,Year,Project_Count,Commitment_Raw,Disbursement_Raw
나미비아,기술환경에너지,2024,0,0.0,0.0
나미비아,농림수산,2019,1,9176.0,9176.0
나미비아,농림수산,2020,1,6055.0,6055.0
나미비아,농림수산,2021,0,0.0,0.0
나미비아,농림수산,2022,0,0.0,0.0
나미비아,농림수산,2023,0,0.0,0.0
나미비아,농림수산,2024,0,0.0,0.0
나미비아,긴급구호/취약성,2019,0,0.0,0.0
나미비아,긴급구호/취약성,2020,0,0.0,0.0
나미비아,긴급구호/취약성,2021,0,0.0,0.0
나미비아,긴급구호/취약성,2022,0,0.0,0.0
나미비아,긴급구호/취약성,2023,0,0.0,0.0
나미비아,긴급구호/취약성,2024,0,0.0,0.0
나미비아,기타,2019,0,0.0,0.0
나미비아,기타,2020,0,0.0,0.0
나미비아,기타,2021,0,0.0,0.0
나미비아,기타,2022,0,0.0,0.0
나미비아,기타,2023,0,0.0,0.0
나미비아,기타,2024,0,0.0,0.0
나우루,공공행정,2019,1,58588.0,58588.0
나우루,공공행정,2020,0,0.0,0.0
나우루,공공행정,2021,0,0.0,0.0
나우루,공공행정,2022,1,201795.0,201795.0
나우루,공공행정,2023,0,0.0,0.0
나우루,공공행정,2024,0,0.0,0.0
나우루,교육,2019,0,0.0,0.0
나우루,교육,2020,1,101910.0,101910.0
나우루,교육,2021,0,0.0,0.0
나우루,교육,2022,0,0.0,0.0
나우루,교육,2023,0,0.0,0.0
나우루,교육,2024,0,0.0,0.0
나우루,보건의료,2019,0,0.0,0.0
나우루,보건의료,2020,0,0.0,0.0
나우루,보건의료,2021,0,0.0,0.0
나우루,보건의료,2022,0,0.0,0.0
나우루,보건의료,2023,0,0.0,0.0
나우루,보건의료,2024,0,0.0,0.0
나우루,기술환경에너지,2019,0,0.0,0.0
나우루,기술환경에너지,2020,0,0.0,0.0
나우루,기술환경에너지,2021,0,0.0,0.0
나우루,기술환경에너지,2022,0,0.0,0.0
나우루,기술환경에너지,2023,0,0.0,0.0
나우루,기술환경에너지,2024,0,0.0,0.0
나우루,농림수산,2019,0,0.0,0.0
나우루,농림수산,2020,0,0.0,0.0
나우루,농림수산,2021,0,0.0,0.0
나우루,농림수산,2022,0,0.0,0.0
나우루,농림수산,2023,0,0.0,0.0
나우루,농림수산,2024,0,0.0,0.0
나우루,긴급구호/취약성,2019,0,0.0,0.0
나우루,긴급구호/취약성,2020,0,0.0,0.0
나우루,긴급구호/취약성,2021,0,0.0,0.0
나우루,긴급구호/취약성,2022,0,0.0,0.0
나우루,긴급구호/취약성,2023,0,0.0,0.0
나우루,긴급구호/취약성,2024,0,0.0,0.0
나우루,기타,2019,0,0.0,0.0
나우루,기타,2020,0,0.0,0.0
나우루,기타,2021,0,0.0,0.0
나우루,기타,2022,0,0.0,0.0
나우루,기타,2023,0,0.0,0.0
나우루,기타,2024,0,0.0,0.0
나이지리아,공공행정,2019,15,507091.0,2074109.0
나이지리아,공공행정,2020,11,13276272.0,321868.0
나이지리아,공공행정,2021,9,153929.0,169511.0
나이지리아,공공행정,2022,13,592250.0,1854267.0
나이지리아,공공행정,2023,13,355114.0,2931849.0
나이지리아,공공행정,2024,16,0.96,2.03
나이지리아,교육,2019,4,191858.0,2382725.0
나이지리아,교육,2020,3,83398.0,84095.0
나이지리아,교육,2021,7,10799203.0,431057.0
나이지리아,교육,2022,6,142064.0,1101033.0
나이지리아,교육,2023,5,41082.0,2125642.0
나이지리아,교육,2024,3,0.02,2.63
나이지리아,보건의료,2019,0,0.0,0.0
나이지리아,보건의료,2020,1,56438.0,56910.0
나이지리아,보건의료,2021,2,35143.0,37155.0
나이지리아,보건의료,2022,3,67351.0,58933.0
나이지리아,보건의료,2023,5,157538.0,157538.0
나이지리아,보건의료,2024,7,0.21,0.21
나이지리아,기술환경에너지,2019,11,107199.0,102139.0
나이지리아,기술환경에너지,2020,8,256992.0,259142.0
나이지리아,기술환경에너지,2021,10,435449.0,443386.0
나이지리아,기술환경에너지,2022,12,376104.0,329095.0
나이지리아,기술환경에너지,2023,17,271123.0,271123.0
나이지리아,기술환경에너지,2024,17,0.33,0.33
나이지리아,농림수산,2019,8,157580.0,149264.0
나이지리아,농림수산,2020,10,141530.0,142698.0
나이지리아,농림수산,2021,10,157815.0,166756.0
나이지리아,농림수산,2022,10,164723.0,144133.0
나이지리아,농림수산,2023,11,91263.0,91263.0
나이지리아,농림수산,2024,13,0.26,0.26
나이지리아,긴급구호/취약성,2019,1,13063.0,13063.0
나이지리아,긴급구호/취약성,2020,1,16663.0,16663.0
나이지리아,긴급구호/취약성,2021,2,62341.0,65877.0
나이지리아,긴급구호/취약성,2022,3,169212.0,165460.0
나이지리아,긴급구호/취약성,2023,2,19556.0,19556.0
나이지리아,긴급구호/취약성,2024,1,0.01,0.01
나이지리아,기타,2019,3,151904.0,150183.0
나이지리아,기타,2020,2,163577.0,163591.0
나이지리아,기타,2021,3,344869.0,346982.0
나이지리아,기타,2022,3,199000.0,192251.0
나이지리아,기타,2023,4,189176.0,189176.0
나이지리아,기타,2024,3,12.24,2.06
남수단,공공행정,2019,0,0.0,0.0
남수단,공공행정,2020,0,0.0,0.0
남수단,공공행정,2021,0,0.0,0.0
남수단,공공행정,2022,0,0.0,0.0
남수단,공공행정,2023,0,0.0,0.0
남수단,공공행정,2024,1,0.0,0.0
남수단,교육,2019,0,0.0,0.0
남수단,교육,2020,0,0.0,0.0
남수단,교육,2021,0,0.0,0.0
남수단,교육,2022,0,0.0,0.0
남수단,교육,2023,0,0.0,0.0
남수단,교육,2024,0,0.0,0.0
남수단,보건의료,2019,0,0.0,0.0
남수단,보건의료,2020,0,0.0,0.0
남수단,보건의료,2021,0,0.0,0.0
남수단,보건의료,2022,0,0.0,0.0
남수단,보건의료,2023,0,0.0,0.0
남수단,보건의료,2024,0,0.0,0.0
남수단,기술환경에너지,2019,0,0.0,0.0
남수단,기술환경에너지,2020,0,0.0,0.0
남수단,기술환경에너지,2021,0,0.0,0.0
남수단,기술환경에너지,2022,0,0.0,0.0
남수단,기술환경에너지,2023,0,0.0,0.0
남수단,기술환경에너지,2024,2,0.02,0.02
남수단,농림수산,2019,0,0.0,0.0
남수단,농림수산,2020,0,0.0,0.0
남수단,농림수산,2021,0,0.0,0.0
남수단,농림수산,2022,0,0.0,0.0
남수단,농림수산,2023,0,0.0,0.0
남수단,농림수산,2024,0,0.0,0.0
남수단,긴급구호/취약성,2019,0,0.0,0.0
남수단,긴급구호/취약성,2020,0,0.0,0.0
남수단,긴급구호/취약성,2021,0,0.0,0.0
남수단,긴급구호/취약성,2022,0,0.0,0.0
남수단,긴급구호/취약성,2023,0,0.0,0.0
남수단,긴급구호/취약성,2024,0,0.0,0.0
남수단,기타,2019,0,0.0,0.0
남수단,기타,2020,0,0.0,0.0
남수단,기타,2021,0,0.0,0.0
남수단,기타,2022,0,0.0,0.0
남수단,기타,2023,0,0.0,0.0
남수단,기타,2024,0,0.0,0.0
남아메리카 지역 (미배분),공공행정,2019,0,0.0,0.0
남아메리카 지역 (미배분),공공행정,2020,0,0.0,0.0
남아메리카 지역 (미배분),공공행정,2021,0,0.0,0.0
남아메리카 지역 (미배분),공공행정,2022,0,0.0,0.0
남아메리카 지역 (미배분),공공행정,2023,0,0.0,0.0
남아메리카 지역 (미배분),공공행정,2024,0,0.0,0.0
남아메리카 지역 (미배분),교육,2019,0,0.0,0.0
남아메리카 지역 (미배분),교육,2020,0,0.0,0.0
